,shrinkage,interaction.depth,n.minobsinnode,n.trees,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
732,0.437324604,5,10,4274,17.4462404,0.260179982,13.08514754,5.352224094,0.190073882,4.184681849
299,0.172176496,10,16,4656,17.45483802,0.305593837,13.10541873,7.407162948,0.234632489,5.179785204
756,0.451638141,9,11,4732,17.46313274,0.267666287,14.00901904,6.375625128,0.184964106,5.204490481
719,0.424819961,3,12,2610,17.46428102,0.282105714,13.59586519,4.651583845,0.218550075,3.812898907
970,0.579106482,3,17,1083,17.47316412,0.265184658,13.76738057,7.119668622,0.237056342,5.548867963
378,0.217966263,1,7,4894,17.47825923,0.264830374,14.38465797,3.650667497,0.259607115,3.353765909
298,0.171918015,1,7,3704,17.48241713,0.254265369,14.46063217,3.680486356,0.263415088,3.423107056
989,0.586932986,2,16,709,17.5054332,0.265756899,13.4769099,6.916133299,0.218665129,4.183473143
368,0.213156931,10,16,4527,17.53934387,0.319887555,13.24465139,7.77304112,0.288489864,5.402652488
323,0.190063948,4,15,4357,17.54148348,0.341671938,13.31097083,8.119334034,0.295216458,5.92659055
823,0.487823923,5,10,3709,17.55343857,0.266800866,13.47049522,5.552039214,0.201342272,4.066014955
600,0.357340679,3,14,1394,17.56737491,0.282569463,13.10384546,7.158272371,0.255153025,5.067965222
514,0.295609164,10,15,2711,17.57787132,0.334949894,13.19232192,7.911066832,0.276452345,5.523211192
803,0.47770147,1,6,701,17.58131976,0.217543611,13.85570846,4.102829717,0.242491075,3.899533241
491,0.280696581,2,12,1938,17.58542705,0.254983958,13.30602611,5.353959219,0.241768375,4.055027735
885,0.522363659,1,14,533,17.58907901,0.222074607,12.54845991,6.307280343,0.206671059,3.657759906
166,0.097828173,8,13,4382,17.6120769,0.29819472,13.28107891,7.124329231,0.265498304,5.153687053
902,0.53471247,7,11,1961,17.65345959,0.297394679,13.61293938,4.79238538,0.216695717,3.322091412
270,0.159127115,4,15,4101,17.66643513,0.324752483,13.34949109,7.743972756,0.270937485,5.348462881
474,0.270425331,3,15,2171,17.6739819,0.329248555,13.42586119,6.750877669,0.241802897,4.676558511
396,0.2263696,5,15,3672,17.69356878,0.327677185,13.03597221,7.7506908,0.30126611,5.400881807
815,0.482699,4,11,3017,17.6953615,0.289450006,14.10213392,6.178028671,0.25320451,5.146256021
466,0.266313499,2,12,2163,17.69584113,0.301305082,13.26365408,5.957378154,0.249962956,4.487564236
470,0.268852247,8,16,4203,17.69856663,0.332671033,13.32941369,7.410454118,0.252757942,5.241214425
522,0.301483039,5,16,2144,17.70221755,0.267202339,13.40733024,7.483858412,0.226899805,4.552181905
949,0.56703207,6,6,919,17.70249608,0.236045669,13.49797371,7.210977403,0.200715823,4.544544798
960,0.576273364,7,14,511,17.70542971,0.297566353,13.45716847,7.306373369,0.228609573,4.932101503
542,0.317100817,10,15,1882,17.71129049,0.324007283,13.55892923,7.849350368,0.28399658,5.824612785
720,0.424845944,9,16,1758,17.72692598,0.280135055,12.99823597,7.313766099,0.225581019,5.062939387
880,0.516623523,6,17,885,17.73985011,0.267394843,13.50998698,7.363226528,0.257801057,5.418433584
413,0.236409219,3,15,3068,17.75466879,0.326115179,13.08306322,7.783034315,0.284011241,5.325053807
587,0.349637459,1,16,2234,17.76398811,0.287252328,13.17019458,7.572878972,0.274181446,5.322645054
707,0.416715109,3,15,1739,17.78020355,0.328530599,13.49505865,6.914829135,0.23882292,4.661070473
714,0.421413444,1,13,1096,17.78714925,0.34350978,13.17205122,7.767858786,0.296630012,5.497013453
381,0.218392859,1,7,4111,17.79926887,0.246368336,14.64415013,3.367719479,0.2584553,3.147901405
523,0.301699114,10,17,3061,17.80595569,0.283606529,13.33634663,7.117912467,0.254420616,5.16861308
